s__Actinobaculum_massiliense,s__Actinomyces_europaeus,s__Actinomyces_neuii,s__Actinomyces_radingae,s__Actinomyces_turicensis,s__Actinotignum_schaalii,s__Actinotignum_timonense,s__Aerococcus_sanguinicola,s__Aerococcus_urinae,s__Alloscardovia_omnicolens,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Anaerococcus_octavius,s__Anaerococcus_prevotii,s__Anaerococcus_vaginalis,s__Atopobium_deltae,s__Atopobium_minutum,s__Atopobium_vaginae,s__Bacteroides_coagulans,s__Bacteroides_uniformis,s__Bacteroides_vulgatus,s__Bifidobacterium_breve,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Blautia_obeum,s__Blautia_wexlerae,s__Brevibacterium_ravenspurgense,s__Campylobacter_ureolyticus,s__Collinsella_aerofaciens,s__Corynebacterium_afermentans,s__Corynebacterium_amycolatum,s__Corynebacterium_aurimucosum,s__Corynebacterium_coyleae,s__Corynebacterium_imitans,s__Corynebacterium_pseudogenitalium,s__Corynebacterium_pyruviciproducens,s__Corynebacterium_riegelii,s__Corynebacterium_simulans,s__Corynebacterium_sp_NML130628,s__Corynebacterium_sp_NML140438,s__Corynebacterium_urealyticum,s__Cutibacterium_avidum,s__Dermabacter_hominis,s__Dialister_micraerophilus,s__Enterococcus_faecalis,s__Escherichia_coli,s__Eubacterium_rectale,s__Facklamia_hominis,s__Facklamia_ignava,s__Finegoldia_magna,s__Fusobacterium_nucleatum,s__Gardnerella_vaginalis,s__Gemella_asaccharolytica,s__Klebsiella_pneumoniae,s__Klebsiella_quasipneumoniae,s__Klebsiella_variicola,s__Lactobacillus_crispatus,s__Lactobacillus_gasseri,s__Lactobacillus_iners,s__Lactobacillus_jensenii,s__Lactobacillus_paragasseri,s__Lactobacillus_vaginalis,s__Lawsonella_clevelandensis,s__Mobiluncus_curtisii,s__Negativicoccus_succinicivorans,s__Peptococcus_niger,s__Peptoniphilus_coxii,s__Peptoniphilus_duerdenii,s__Peptoniphilus_harei,s__Peptoniphilus_lacrimalis,s__Peptoniphilus_sp_HMSC062D09,s__Porphyromonas_asaccharolytica,s__Porphyromonas_sp_HMSC065F10,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Prevotella_bivia,s__Prevotella_buccalis,s__Prevotella_colorans,s__Prevotella_corporis,s__Prevotella_disiens,s__Prevotella_sp_S7_1_8,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Slackia_exigua,s__Staphylococcus_epidermidis,s__Staphylococcus_haemolyticus,s__Staphylococcus_hominis,s__Staphylococcus_lugdunensis,s__Staphylococcus_simulans,s__Streptococcus_agalactiae,s__Streptococcus_anginosus_group,s__Streptococcus_mitis,s__Streptococcus_oralis,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Trueperella_bernardiae,s__Varibaculum_cambriense,s__Veillonella_atypica,s__Veillonella_parvula
24806,889,0,255,6353,0,906,0,0,0,6590,0,0,3654,5597,0,2147,0,0,25544,7120,0,0,0,27288,38047,0,0,101872,0,9304,25529,0,0,1903,35436,0,19920,160,0,0,0,278,391,1150,1455,486,3513,0,143643,1162,0,0,637,0,0,0,0,0,0,0,0,0,0,1389,1091,2696,1028,40133,2111,0,0,0,0,0,0,305,0,0,0,0,20781,462,0,16402,6673,0,531,0,0,224412,7336,13398,2276,35982,0,19142,0,6359
1233,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,0,0,4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19696,14766,0,1336,0,2004,0,0,0,0,0,0,0,135687,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22478,0,0,0,0,0,195693,5239,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,604,9961472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819830,582,0,0,1720,0,672364,7946,759970,0,0,731879,0,1626,7167,0,40805,17323,1011,0,0,0,0,0,0,0,0,108714,0,0,0,0,0,0,0,25568,0,0,1134,5830,0,0,0,11030,0,0,0,115855,362368,46164,0,0,936,0,0,0,0,0,0,0,0,0,6042,0,0,0,96161,27705,543866,2075,0,0,78561,0,0,0,1481063,0,0,0,0,26019,608895,0,0,0,0,357,0,0,0,0,0,0,0,0,3171,0,0
0,3588,3951,14665,0,382,0,0,2169,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3682,754896,0,29631,0,0,0,1220,1799,0,217865,1453,0,0,0,841529,0,0,0,4052,1582,0,0,0,0,0,0,0,819,1171,0,251,0,0,30752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146958,2231,0,0,0,0,2016,0,2361,0,0,0,94525,0,0
0,21349,119,42521,48173,0,2999,903,29901,0,372,936,0,918,6053,13705,87820,0,26178,0,0,13664,0,0,0,0,0,15654,0,0,18730,26349,192244,115,0,64413,14473,71177,0,0,0,1596,1348,36753,0,0,0,74623,55299,749273,43284,33865728,0,0,0,0,8524074,0,3464692,0,3675,0,11012,1283,1034,648,278996,12030,680680,51728,10974,76,41611,0,0,71886,357192,7515,0,314257,1103,129263,489326,0,0,13787,0,0,65,1804,147436,0,0,0,0,12821,171874,0,0
0,0,120,0,0,0,442073,0,8016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616962,0,0,0,0,0,0,0,0,0,0,0,347156,0,469,0,0,0,0,0,4020,0,0,0,2086,0,34528,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,12819,306,1328,0,321,0,0,0,13795,0,0,0,0,1294,0,0,0,10491,0,0,0,0,497706,0,0,0,0,0,7320,0,588
541,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,12421267,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,1118,0,0,0,0,0,0,0,4483419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23606,0,0,0,15184,689,81839,25391,0,25,0,251,62258,18211,0,230,0,50438,0,0,0,0,0,0,0,0,282607,0,0,22872,71592,15093,0,650,74077,0,0,10424,56748,0,0,15629,0,52318,0,0,700416,400763,329662,0,0,326,0,0,0,0,0,0,0,0,0,0,0,6311,0,153165,7813,403107,22155,615,0,0,0,0,0,0,0,0,0,0,859,39621,0,7714,444724,2123,0,62649,0,0,558316,55325,0,0,125616,80226,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,114,0,0,0,0,0,0,44312275,0,0,100045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
